,Total_Importance,Xx,Yy,Size,Segment
118,2.188188746337602,112,32,2.0553157329559326,131
119,1.9182942024308491,83,32,4.04506778717041,94
120,0.7105164097869708,62,32,2.3267133235931396,75
121,1.1673636102511056,101,32,1.8776906728744507,102
122,1.5674046610103565,101,32,1.8776906728744507,102
123,1.292449798556212,108,33,2.743905782699585,102
124,1.113823055489694,115,33,1.984853744506836,131
125,1.9428563114239688,38,33,2.5638129711151123,48
126,0.5332578176697832,38,33,2.5638129711151123,48
127,0.6232064331221872,269,33,1.9444496631622314,303
128,0.6422344064211171,15,34,2.2009365558624268,29
129,1.150560468549771,187,34,6.833710670471191,181
130,1.4358602811143475,121,34,1.9700052738189697,148
131,0.6077444287458162,207,34,1.8921644687652588,226
132,1.0702769679767674,27,34,2.5270841121673584,29
133,2.4859847906442876,106,35,2.075977325439453,127
134,1.962618074725601,240,35,5.149860382080078,253
135,0.8445217905421784,13,35,4.2927470207214355,29
136,2.0725592864236266,221,35,2.9986817836761475,248
137,1.7346612776988575,34,35,1.8884795904159546,37
138,2.1466277289319975,202,36,2.2281577587127686,215
139,1.2389354076451962,131,36,2.523070812225342,148
140,1.2277515093213114,131,36,2.523070812225342,148
141,1.5364607607017697,152,36,1.878822922706604,181
142,2.1349254928352015,127,37,2.9082605838775635,148
143,0.5910500360455511,256,37,2.349065065383911,290
144,1.4596845541227086,74,38,1.9987696409225464,75
145,1.9901368171390563,199,38,2.1624209880828857,215
146,1.8398375219287513,121,38,2.524005651473999,127
147,1.3344907966494801,38,39,4.767004489898682,37
148,1.117206517705968,247,39,3.1352427005767822,253
149,1.7689928441143399,230,39,2.0793213844299316,253
150,1.2260627905584705,89,39,1.8190298080444336,87
151,2.455736895534963,86,40,2.460826873779297,87
152,1.3895503722866231,7,40,2.1268270015716553,1
153,1.1262392806565096,177,40,2.8811912536621094,181
154,1.2690262179286826,202,40,2.545900344848633,226
155,1.4157218852235025,146,40,3.0220143795013428,161
156,1.2113514812445232,260,40,2.057451009750366,290
157,2.022216979298975,210,41,3.709456205368042,226
158,1.502606139967549,225,41,3.437267303466797,248
159,1.6949170512937926,199,41,1.8969109058380127,215
160,1.0917035162180118,3,42,1.8811601400375366,29
161,1.1644063862777172,79,42,1.9142497777938843,87
162,1.1458671068350634,79,42,1.9142497777938843,87
163,1.4083574945135742,282,42,1.797686219215393,315
164,2.071106773587292,220,42,2.0235257148742676,234
165,0.6497828006014673,8,43,2.1829800605773926,29
166,1.6354529791585128,102,43,3.297943115234375,87
167,1.0650770240595377,216,43,1.9012707471847534,248
168,1.678605909560713,179,43,2.2841529846191406,181
169,2.0710852124024957,180,44,3.1553022861480713,181
170,0.6630903193138499,259,44,2.0828874111175537,302
171,2.239580123568074,164,44,2.6513543128967285,181
172,1.3636651078197568,214,44,3.9609687328338623,248
173,1.2920300263317042,85,45,3.060229539871216,87
174,1.6593065016387123,167,45,1.9920819997787476,181
175,1.1900567125918076,185,45,2.304487943649292,211
176,1.3874635999546103,185,45,2.304487943649292,211
177,2.4236647785038783,136,46,2.7664906978607178,161
178,2.231133769977782,136,46,2.7664906978607178,161
179,1.0501024593585162,8,46,2.525736093521118,29
180,1.0009748550351054,8,46,2.525736093521118,29
181,2.089776452197718,194,46,3.1040117740631104,215
182,1.1330680938726059,178,46,1.83745276927948,211
183,1.1811930705248859,140,47,3.2038486003875732,161
184,0.5308825785204954,4,47,2.310276985168457,29
185,2.2927057774539072,117,47,1.9496973752975464,123
186,1.9692888782297875,202,48,1.9923471212387085,222
187,1.9812657696733107,202,48,1.9923471212387085,222
188,1.461881045726732,129,48,2.0454623699188232,161
189,0.6566985294523471,150,48,7.405525207519531,170
190,1.5719847511680585,198,49,2.0551469326019287,234
191,1.7106850649503242,239,49,2.1009812355041504,259
192,2.2339467907727935,208,49,2.027909755706787,234
193,2.1982622007148933,208,49,2.027909755706787,234
194,1.8873497029726938,105,49,1.8554683923721313,123
195,1.5674877942290573,105,49,1.8554683923721313,123
196,2.0337094660667723,85,50,3.072479486465454,74
